,response,left_contrast,right_contrast,correct
0,1.0,1.0,0.0,True
1,1.0,0.0,1.0,False
2,-1.0,0.0,1.0,True
3,-1.0,0.0,0.25,True
4,1.0,1.0,0.25,True
5,-1.0,0.0,0.0,False
6,-1.0,0.0,0.0,False
7,0.0,0.0,0.0,True
8,-1.0,0.0,0.25,True
9,-1.0,0.25,0.5,True
10,1.0,0.0,0.0,False
11,0.0,0.0,0.0,True
12,-1.0,0.25,1.0,True
13,-1.0,0.25,0.5,True
14,1.0,0.5,0.0,True
15,-1.0,0.0,0.25,True
16,-1.0,0.25,0.5,True
17,-1.0,0.0,1.0,True
18,-1.0,0.25,0.5,True
19,1.0,0.5,0.0,True
20,-1.0,0.25,0.5,True
21,-1.0,0.0,1.0,True
22,1.0,0.0,0.0,False
23,0.0,0.0,0.0,True
24,-1.0,0.25,1.0,True
25,1.0,1.0,0.5,True
26,-1.0,0.0,0.5,True
27,1.0,0.0,0.0,False
28,0.0,0.0,0.0,True
29,1.0,0.5,0.0,True
30,1.0,1.0,0.25,True
31,-1.0,0.25,0.5,True
32,-1.0,1.0,0.5,False
33,1.0,1.0,0.0,True
34,0.0,0.0,0.0,True
35,1.0,0.0,0.0,False
36,0.0,0.0,0.0,True
37,-1.0,0.0,1.0,True
38,-1.0,0.0,1.0,True
39,1.0,1.0,0.5,True
40,-1.0,0.0,0.25,True
41,-1.0,0.0,1.0,True
42,1.0,0.25,0.5,False
43,1.0,0.5,0.0,True
44,1.0,0.5,0.0,True
45,-1.0,0.25,1.0,True
46,1.0,0.0,0.0,False
47,0.0,0.0,0.0,True
48,1.0,0.5,0.0,True
49,-1.0,0.0,1.0,True
50,-1.0,1.0,0.25,False
51,0.0,1.0,0.25,False
52,1.0,1.0,0.25,True
53,0.0,0.0,0.0,True
54,-1.0,0.0,0.5,True
55,1.0,0.0,0.0,False
56,0.0,0.0,0.0,True
57,-1.0,1.0,0.25,False
58,1.0,1.0,0.25,True
59,-1.0,0.0,1.0,True
60,-1.0,1.0,0.5,False
61,0.0,0.5,0.0,False
62,0.0,0.5,0.0,False
63,0.0,0.5,0.0,False
64,-1.0,1.0,0.5,False
65,0.0,0.0,0.0,True
66,0.0,0.5,0.0,False
67,0.0,0.0,0.0,True
68,-1.0,0.25,1.0,True
69,1.0,0.5,0.0,True
70,1.0,0.5,0.0,True
71,1.0,0.5,0.0,True
72,1.0,0.0,0.0,False
73,0.0,0.0,0.0,True
74,-1.0,0.25,0.5,True
75,-1.0,0.0,0.0,False
76,0.0,0.0,0.0,True
77,-1.0,0.0,0.5,True
78,-1.0,0.0,0.0,False
79,0.0,0.0,0.0,True
80,1.0,0.5,0.0,True
81,-1.0,0.25,0.5,True
82,1.0,0.25,0.0,True
83,1.0,1.0,0.0,True
84,-1.0,0.0,0.5,True
85,1.0,0.5,0.0,True
86,-1.0,0.25,1.0,True
87,1.0,0.0,0.0,False
88,0.0,0.0,0.0,True
89,0.0,0.0,0.0,True
90,0.0,0.0,0.0,True
91,-1.0,0.0,1.0,True
92,-1.0,0.0,0.0,False
93,0.0,0.0,0.0,True
94,0.0,0.0,0.0,True
95,-1.0,0.0,0.5,True
96,-1.0,0.0,0.0,False
97,0.0,0.0,0.0,True
98,0.0,0.0,0.0,True
99,0.0,0.0,0.0,True
100,-1.0,0.0,0.0,False
101,1.0,0.0,0.0,False
102,0.0,0.0,0.0,True
103,1.0,0.5,0.0,True
104,1.0,1.0,0.5,True
105,1.0,0.5,0.0,True
106,0.0,0.0,0.0,True
107,-1.0,0.0,0.5,True
108,1.0,0.25,0.5,False
109,1.0,0.0,0.0,False
110,0.0,0.0,0.0,True
111,-1.0,0.0,0.0,False
112,0.0,0.0,0.0,True
113,1.0,1.0,0.0,True
114,1.0,1.0,0.0,True
115,1.0,0.0,0.0,False
116,0.0,0.0,0.0,True
117,-1.0,0.0,0.25,True
118,0.0,0.0,0.0,True
119,-1.0,0.0,1.0,True
120,-1.0,0.0,1.0,True
121,-1.0,0.0,1.0,True
122,-1.0,0.0,1.0,True
123,0.0,0.0,0.25,False
124,0.0,0.25,0.0,False
125,-1.0,0.25,1.0,True
126,1.0,1.0,0.5,True
127,-1.0,0.0,0.0,False
128,1.0,0.0,0.0,False
129,1.0,0.0,0.0,False
130,0.0,0.0,0.0,True
131,-1.0,0.5,1.0,True
132,0.0,0.0,0.0,True
133,1.0,0.5,0.0,True
134,-1.0,0.0,0.0,False
135,0.0,0.0,0.0,True
136,1.0,0.5,0.25,True
137,-1.0,0.0,0.0,False
138,0.0,0.0,0.0,True
139,1.0,0.0,0.0,False
140,0.0,0.0,0.0,True
141,1.0,0.25,0.0,True
142,1.0,0.5,0.0,True
143,0.0,0.0,0.0,True
144,-1.0,0.0,1.0,True
145,1.0,0.5,0.25,True
146,1.0,1.0,0.0,True
147,-1.0,0.0,0.0,False
148,0.0,0.0,0.0,True
149,1.0,1.0,0.5,True
150,1.0,1.0,0.5,True
151,1.0,0.5,0.0,True
152,1.0,1.0,0.0,True
153,0.0,1.0,0.0,False
154,1.0,1.0,0.0,True
155,-1.0,0.5,1.0,True
156,-1.0,0.0,0.5,True
157,-1.0,0.0,0.0,False
158,-1.0,0.0,0.0,False
159,0.0,0.0,0.0,True
160,0.0,0.0,0.0,True
161,1.0,0.0,0.0,False
162,0.0,0.0,0.0,True
163,-1.0,0.0,1.0,True
164,-1.0,0.0,0.5,True
165,-1.0,0.0,0.5,True
